time,BE,DK,FR,DE,EL,IE,IT,LU,NL,PT,ES,UK,AT,FI,SE,CY,CZ,EE,HU,LV,LT,MT,PL,SK,SI,BG,RO,HR
2001,77.5,76.4,78.6,77.9,78.5,76.6,79.6,77.5,77.8,76.6,79.1,77.7,78.2,77.5,79.2,78.4,74.6,70.5,72.1,NA,71.2,78.2,73.8,73.1,75.7,71.9,71.4,74.1
2002,77.5,76.4,78.7,77.9,78.6,77.1,79.7,77.5,77.8,76.8,79.2,77.7,78.2,77.6,79.3,78,74.7,70.8,72.1,69.9,71.3,78.3,74.1,73.3,75.9,72.1,71.1,74.2
2003,77.6,76.8,78.6,78,78.6,77.6,79.5,77.2,78.1,76.8,79,77.8,78.1,77.8,79.5,78.3,74.6,71.4,72.1,70.3,71.5,78.1,74.2,73.4,75.7,72.2,71.2,74
2004,78.3,77.2,79.7,78.6,78.7,78,80.2,78.6,78.7,77.7,79.7,78.4,78.7,78.2,79.9,78.4,75.2,71.9,72.5,70.6,71.5,78.8,74.4,73.7,76.5,72.4,71.6,74.9
2005,78.4,77.6,79.7,78.7,78.9,78.3,80.2,78.8,79,77.5,79.6,78.6,78.9,78.4,79.9,78,75.4,72.4,72.4,70.2,70.7,78.9,74.5,73.7,76.8,72.3,72,74.7
2006,78.8,77.7,80.3,79.2,79.2,78.6,80.7,78.6,79.3,78.3,80.4,78.9,79.4,78.8,80.2,79.4,76,72.5,72.9,70.1,70.5,78.8,74.8,73.9,77.5,72.5,72.5,75.3
2007,79.2,77.7,80.6,79.4,79,79,80.8,78.7,79.7,78.5,80.4,79.1,79.6,78.8,80.3,79.1,76.3,72.6,73,70.4,70.2,79.5,74.8,74,77.6,72.7,73,75.2
2008,79.1,78.1,80.7,79.5,79.5,79.5,80.9,79.8,79.8,78.8,80.8,79.2,79.9,79.1,80.5,79.9,76.5,73.7,73.6,71.6,71.1,79.4,75.1,74.4,78.3,73,73.4,75.3
2009,79.4,78.3,80.9,79.6,79.6,79.5,81.1,80,80.2,79,81.2,79.8,79.8,79.3,80.7,80.2,76.6,74.6,73.8,72.3,72.4,79.8,75.3,74.8,78.5,73.4,73.5,75.7
2010,79.6,78.6,81.1,79.8,79.9,80.1,81.5,80.1,80.3,79.3,81.6,80,80.1,79.4,80.9,80.8,76.9,75.3,74.1,72.5,72.6,80.9,75.8,75,79,73.5,73.5,76.1
2011,79.9,79.1,81.6,79.9,80,80.1,81.6,80.4,80.6,79.9,81.8,80.4,80.4,79.8,81,80.5,77.2,75.8,74.5,73.4,73.1,80.4,76.2,75.5,79.4,73.9,74.2,76.5
2012,79.8,79.4,81.4,80,79.9,80.2,81.6,80.7,80.5,79.8,81.8,80.3,80.3,79.9,81,80.4,77.4,76,74.6,73.6,73.4,80.3,76.2,75.7,79.4,74,74.2,76.6
2013,80,79.6,81.7,79.9,80.7,80.3,82.1,81.2,80.7,80.1,82.4,80.4,80.5,80.3,81.2,81.7,77.5,76.7,75.2,73.7,73.4,81.4,76.5,76,79.7,74.5,74.8,77.1
2014,80.6,80.1,82.2,80.4,80.8,80.7,82.5,81.5,81.1,80.6,82.5,80.7,80.9,80.5,81.5,81.5,78.1,76.6,75.3,73.7,74,81.5,77.1,76.4,80.4,74.1,74.6,77.3
2015,80.4,80.1,81.8,80,80.4,80.8,81.9,81.6,80.9,80.5,82.2,80.3,80.6,80.7,81.4,81,77.9,77.2,75,74.1,73.9,81.5,76.9,76.1,80,74.1,74.5,76.8
2016,80.8,80.2,82,80.3,80.8,81,82.6,82,81,80.6,82.7,80.6,81,80.6,81.6,81.9,78.4,77.2,75.5,74.1,74.3,82.2,77.3,76.7,80.4,74.4,74.9,77.5
