"GEO","TIME","SEX","ISCED11","AGE","UNIT","Value"
"EU28","2009","T","ED0-2","Y15-74","PC_ACT","14.4"
"EU15","2009","T","ED0-2","Y15-74","PC_ACT","14.5"
"EA19","2009","T","ED0-2","Y15-74","PC_ACT","15.0"
"EA18","2009","T","ED0-2","Y15-74","PC_ACT","14.9"
"EA17","2009","T","ED0-2","Y15-74","PC_ACT","14.9"
"BE","2009","T","ED0-2","Y15-74","PC_ACT","13.6"
"BG","2009","T","ED0-2","Y15-74","PC_ACT","15.5"
"CZ","2009","T","ED0-2","Y15-74","PC_ACT","24.1"
"DK","2009","T","ED0-2","Y15-74","PC_ACT","9.1"
"DE","2009","T","ED0-2","Y15-74","PC_ACT","15.7"
"EE","2009","T","ED0-2","Y15-74","PC_ACT","28.1"
"IE","2009","T","ED0-2","Y15-74","PC_ACT","18.1"
"EL","2009","T","ED0-2","Y15-74","PC_ACT","9.5"
"ES","2009","T","ED0-2","Y15-74","PC_ACT","24.5"
"FR","2009","T","ED0-2","Y15-74","PC_ACT",":"
"FX","2009","T","ED0-2","Y15-74","PC_ACT","13.6"
"HR","2009","T","ED0-2","Y15-74","PC_ACT","9.9"
"IT","2009","T","ED0-2","Y15-74","PC_ACT","9.5"
"CY","2009","T","ED0-2","Y15-74","PC_ACT","6.1"
"LV","2009","T","ED0-2","Y15-74","PC_ACT","31.1"
"LT","2009","T","ED0-2","Y15-74","PC_ACT","29.7"
"LU","2009","T","ED0-2","Y15-74","PC_ACT","8.1"
"HU","2009","T","ED0-2","Y15-74","PC_ACT","23.2"
"MT","2009","T","ED0-2","Y15-74","PC_ACT","9.0"
"NL","2009","T","ED0-2","Y15-74","PC_ACT","6.8"
"AT","2009","T","ED0-2","Y15-74","PC_ACT","10.7"
"PL","2009","T","ED0-2","Y15-74","PC_ACT","14.7"
"PT","2009","T","ED0-2","Y15-74","PC_ACT","10.3"
"RO","2009","T","ED0-2","Y15-74","PC_ACT","7.5"
"SI","2009","T","ED0-2","Y15-74","PC_ACT","8.8"
"SK","2009","T","ED0-2","Y15-74","PC_ACT","41.5"
"FI","2009","T","ED0-2","Y15-74","PC_ACT","14.8"
"SE","2009","T","ED0-2","Y15-74","PC_ACT","15.8"
"UK","2009","T","ED0-2","Y15-74","PC_ACT","12.9"
"IS","2009","T","ED0-2","Y15-74","PC_ACT","10.2"
"NO","2009","T","ED0-2","Y15-74","PC_ACT","6.5"
"CH","2009","T","ED0-2","Y15-74","PC_ACT",":"
"ME","2009","T","ED0-2","Y15-74","PC_ACT",":"
"MK","2009","T","ED0-2","Y15-74","PC_ACT","38.6"
"RS","2009","T","ED0-2","Y15-74","PC_ACT",":"
"TR","2009","T","ED0-2","Y15-74","PC_ACT","12.2"
"EU28","2010","T","ED0-2","Y15-74","PC_ACT","15.7"
"EU15","2010","T","ED0-2","Y15-74","PC_ACT","15.7"
"EA19","2010","T","ED0-2","Y15-74","PC_ACT","16.2"
"EA18","2010","T","ED0-2","Y15-74","PC_ACT","16.2"
"EA17","2010","T","ED0-2","Y15-74","PC_ACT","16.1"
"BE","2010","T","ED0-2","Y15-74","PC_ACT","15.3"
"BG","2010","T","ED0-2","Y15-74","PC_ACT","22.7"
"CZ","2010","T","ED0-2","Y15-74","PC_ACT","25.0"
"DK","2010","T","ED0-2","Y15-74","PC_ACT","11.1"
"DE","2010","T","ED0-2","Y15-74","PC_ACT","14.7"
"EE","2010","T","ED0-2","Y15-74","PC_ACT","30.5"
"IE","2010","T","ED0-2","Y15-74","PC_ACT","22.1"
"EL","2010","T","ED0-2","Y15-74","PC_ACT","12.7"
"ES","2010","T","ED0-2","Y15-74","PC_ACT","27.1"
"FR","2010","T","ED0-2","Y15-74","PC_ACT",":"
"FX","2010","T","ED0-2","Y15-74","PC_ACT","14.5"
"HR","2010","T","ED0-2","Y15-74","PC_ACT","13.0"
"IT","2010","T","ED0-2","Y15-74","PC_ACT","10.3"
"CY","2010","T","ED0-2","Y15-74","PC_ACT","7.1"
"LV","2010","T","ED0-2","Y15-74","PC_ACT","32.8"
"LT","2010","T","ED0-2","Y15-74","PC_ACT","39.4"
"LU","2010","T","ED0-2","Y15-74","PC_ACT","6.1"
"HU","2010","T","ED0-2","Y15-74","PC_ACT","25.1"
"MT","2010","T","ED0-2","Y15-74","PC_ACT","9.6"
"NL","2010","T","ED0-2","Y15-74","PC_ACT","8.1"
"AT","2010","T","ED0-2","Y15-74","PC_ACT","9.2"
"PL","2010","T","ED0-2","Y15-74","PC_ACT","17.5"
"PT","2010","T","ED0-2","Y15-74","PC_ACT","11.8"
"RO","2010","T","ED0-2","Y15-74","PC_ACT","5.9"
"SI","2010","T","ED0-2","Y15-74","PC_ACT","11.7"
"SK","2010","T","ED0-2","Y15-74","PC_ACT","44.2"
"FI","2010","T","ED0-2","Y15-74","PC_ACT","16.1"
"SE","2010","T","ED0-2","Y15-74","PC_ACT","17.0"
"UK","2010","T","ED0-2","Y15-74","PC_ACT","13.8"
"IS","2010","T","ED0-2","Y15-74","PC_ACT","10.5"
"NO","2010","T","ED0-2","Y15-74","PC_ACT","7.3"
"CH","2010","T","ED0-2","Y15-74","PC_ACT","8.0"
"ME","2010","T","ED0-2","Y15-74","PC_ACT",":"
